018  01471 |Loss: 0.476 | Acc: 80.000% 
018  01472 |Loss: 0.486 | Acc: 80.000% 
018  01473 |Loss: 0.488 | Acc: 80.000% 
018  01474 |Loss: 0.478 | Acc: 81.000% 
018  01475 |Loss: 0.475 | Acc: 81.000% 
018  01476 |Loss: 0.472 | Acc: 81.000% 
018  01477 |Loss: 0.471 | Acc: 81.000% 
018  01478 |Loss: 0.479 | Acc: 81.000% 
018  01479 |Loss: 0.482 | Acc: 80.000% 
018  01480 |Loss: 0.481 | Acc: 80.000% 
018  01481 |Loss: 0.477 | Acc: 81.000% 
018  01482 |Loss: 0.476 | Acc: 81.000% 
018  01483 |Loss: 0.470 | Acc: 81.000% 
018  01484 |Loss: 0.468 | Acc: 81.000% 
018  01485 |Loss: 0.464 | Acc: 81.000% 
018  01486 |Loss: 0.468 | Acc: 81.000% 
018  01487 |Loss: 0.471 | Acc: 81.000% 
018  01488 |Loss: 0.469 | Acc: 81.000% 
018  01489 |Loss: 0.466 | Acc: 81.000% 
018  01490 |Loss: 0.463 | Acc: 81.000% 
018  01491 |Loss: 0.461 | Acc: 81.000% 
018  01492 |Loss: 0.458 | Acc: 82.000% 
018  01493 |Loss: 0.468 | Acc: 81.000% 
018  01494 |Loss: 0.467 | Acc: 81.000% 
018  01495 |Loss: 0.468 | Acc: 81.000% 
018  01496 |Loss: 0.467 | Acc: 82.000% 
018  01497 |Loss: 0.468 | Acc: 82.000% 
018  01498 |Loss: 0.469 | Acc: 82.000% 
018  01499 |Loss: 0.466 | Acc: 82.000% 
018  01500 |Loss: 0.464 | Acc: 82.000% 
018  01501 |Loss: 0.467 | Acc: 82.000% 
018  01502 |Loss: 0.469 | Acc: 82.000% 
018  01503 |Loss: 0.467 | Acc: 82.000% 
018  01504 |Loss: 0.475 | Acc: 82.000% 
018  01505 |Loss: 0.477 | Acc: 81.000% 
018  01506 |Loss: 0.481 | Acc: 81.000% 
018  01507 |Loss: 0.482 | Acc: 81.000% 
018  01508 |Loss: 0.482 | Acc: 81.000% 
018  01509 |Loss: 0.481 | Acc: 81.000% 
018  01510 |Loss: 0.482 | Acc: 81.000% 
018  01511 |Loss: 0.487 | Acc: 81.000% 
018  01512 |Loss: 0.483 | Acc: 81.000% 
018  01513 |Loss: 0.480 | Acc: 81.000% 
018  01514 |Loss: 0.479 | Acc: 82.000% 
018  01515 |Loss: 0.479 | Acc: 81.000% 
018  01516 |Loss: 0.476 | Acc: 82.000% 
018  01517 |Loss: 0.481 | Acc: 81.000% 
018  01518 |Loss: 0.483 | Acc: 81.000% 
018  01519 |Loss: 0.486 | Acc: 81.000% 
018  01520 |Loss: 0.491 | Acc: 81.000% 
018  01521 |Loss: 0.490 | Acc: 81.000% 
018  01522 |Loss: 0.490 | Acc: 81.000% 
018  01523 |Loss: 0.489 | Acc: 81.000% 
018  01524 |Loss: 0.492 | Acc: 81.000% 
018  01525 |Loss: 0.491 | Acc: 81.000% 
018  01526 |Loss: 0.491 | Acc: 81.000% 
018  01527 |Loss: 0.494 | Acc: 81.000% 
018  01528 |Loss: 0.494 | Acc: 81.000% 
018  01529 |Loss: 0.492 | Acc: 81.000% 
018  01530 |Loss: 0.491 | Acc: 81.000% 
018  01531 |Loss: 0.492 | Acc: 81.000% 
018  01532 |Loss: 0.492 | Acc: 81.000% 
018  01533 |Loss: 0.492 | Acc: 81.000% 
018  01534 |Loss: 0.493 | Acc: 81.000% 
018  01535 |Loss: 0.493 | Acc: 81.000% 
018  01536 |Loss: 0.492 | Acc: 81.000% 
018  01537 |Loss: 0.491 | Acc: 81.000% 
018  01538 |Loss: 0.492 | Acc: 81.000% 
018  01539 |Loss: 0.492 | Acc: 81.000% 
018  01540 |Loss: 0.494 | Acc: 81.000% 
018  01541 |Loss: 0.492 | Acc: 81.000% 
018  01542 |Loss: 0.493 | Acc: 81.000% 
018  01543 |Loss: 0.495 | Acc: 81.000% 
018  01544 |Loss: 0.495 | Acc: 81.000% 
018  01545 |Loss: 0.494 | Acc: 81.000% 
018  01546 |Loss: 0.493 | Acc: 81.000% 
018  01547 |Loss: 0.494 | Acc: 81.000% 
018  01548 |Loss: 0.497 | Acc: 81.000% 
019  01549 |Loss: 0.421 | Acc: 84.000% 
019  01550 |Loss: 0.568 | Acc: 81.000% 
019  01551 |Loss: 0.532 | Acc: 82.000% 
019  01552 |Loss: 0.514 | Acc: 81.000% 
019  01553 |Loss: 0.583 | Acc: 79.000% 
019  01554 |Loss: 0.558 | Acc: 80.000% 
019  01555 |Loss: 0.565 | Acc: 80.000% 
019  01556 |Loss: 0.563 | Acc: 80.000% 
019  01557 |Loss: 0.563 | Acc: 80.000% 
019  01558 |Loss: 0.550 | Acc: 81.000% 
019  01559 |Loss: 0.561 | Acc: 80.000% 
019  01560 |Loss: 0.545 | Acc: 80.000% 
019  01561 |Loss: 0.530 | Acc: 81.000% 
019  01562 |Loss: 0.526 | Acc: 81.000% 
019  01563 |Loss: 0.521 | Acc: 80.000% 
019  01564 |Loss: 0.528 | Acc: 80.000% 
019  01565 |Loss: 0.526 | Acc: 80.000% 
019  01566 |Loss: 0.529 | Acc: 80.000% 
019  01567 |Loss: 0.519 | Acc: 80.000% 
019  01568 |Loss: 0.519 | Acc: 81.000% 
019  01569 |Loss: 0.524 | Acc: 80.000% 
019  01570 |Loss: 0.520 | Acc: 80.000% 
019  01571 |Loss: 0.514 | Acc: 81.000% 
019  01572 |Loss: 0.512 | Acc: 81.000% 
019  01573 |Loss: 0.512 | Acc: 80.000% 
019  01574 |Loss: 0.508 | Acc: 81.000% 
019  01575 |Loss: 0.506 | Acc: 81.000% 
019  01576 |Loss: 0.506 | Acc: 81.000% 
019  01577 |Loss: 0.503 | Acc: 81.000% 
019  01578 |Loss: 0.504 | Acc: 81.000% 
019  01579 |Loss: 0.504 | Acc: 81.000% 
019  01580 |Loss: 0.507 | Acc: 81.000% 
019  01581 |Loss: 0.507 | Acc: 81.000% 
019  01582 |Loss: 0.511 | Acc: 80.000% 
019  01583 |Loss: 0.516 | Acc: 80.000% 
019  01584 |Loss: 0.516 | Acc: 80.000% 
019  01585 |Loss: 0.517 | Acc: 80.000% 
019  01586 |Loss: 0.515 | Acc: 80.000% 
019  01587 |Loss: 0.515 | Acc: 80.000% 
019  01588 |Loss: 0.513 | Acc: 80.000% 
019  01589 |Loss: 0.513 | Acc: 80.000% 
019  01590 |Loss: 0.509 | Acc: 80.000% 
019  01591 |Loss: 0.508 | Acc: 80.000% 
019  01592 |Loss: 0.505 | Acc: 80.000% 
019  01593 |Loss: 0.506 | Acc: 80.000% 
019  01594 |Loss: 0.507 | Acc: 80.000% 
019  01595 |Loss: 0.506 | Acc: 80.000% 
019  01596 |Loss: 0.504 | Acc: 80.000% 
019  01597 |Loss: 0.503 | Acc: 80.000% 
019  01598 |Loss: 0.507 | Acc: 80.000% 
